What is deforestation?,Clearing a wide area of trees,The heating of the Earth,The rising of sea levels,Growing agriculture
Which of these materials cannot be recycled?,Light bulbs,Paper and cardboard,Plastic bottles,Metals
What is climate change?,The increase in temperature of Earth's atmosphere and the constant change in weather patterns,When the weather changes each week,The seasons changing based on the time of year and the Earth's rotation around the sun,When birds fly south for the winter
Which one of these is a greenhouse gas?,Carbon Dioxide,Oxygen,Nitrogen,Argon
Which of the following will help you to save water? ,"Close leaking faucets and fix leaky faucets, pipes, and toilets",Flush the toilet 3 times,Take long showers,Leave the faucet on when you brush your teeth
Which is the most environmentally-friendly mode of transportation?,Bike,Car,Bus,Plane
Which day is Earth Day?,April 22,March 12,October 2,May 9
How long does a Styrofoam cup take to breakdown?,500 years,300 years,100 years,50 years
How long does it take for a glass bottle or jar to decompose?,"40,000 years","10,000 years","4,000 years",100 years
The greenhouse effect refers to which of the following?,Warming of the Earth,Cooling of the Earth,Trapping of UV rays,Growing plants
